gene_symbol,ensembl_id,uniprot_id,gene_description,chromosome,protein_class,evidence,rna_tissue_specificity,rna_tissue_distribution
NXF3,ENSG00000147206,Q9H4D5,Nuclear RNA export factor 3,X,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in some
RIPPLY1,ENSG00000147223,Q0D2K3,Ripply transcriptional repressor 1,X,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in some
PRPS1,ENSG00000147224,P60891,Phosphoribosyl pyrophosphate synthetase 1,X,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
RADX,ENSG00000147231,Q6NSI4,"RPA1 related single stranded DNA binding protein, X-linked",X,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
FRMPD3,ENSG00000147234,Q5JV73,FERM and PDZ domain containing 3,X,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in some
HTR2C,ENSG00000147246,P28335,5-hydroxytryptamine receptor 2C,X,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,Group enriched,Detected in some
DOCK11,ENSG00000147251,Q5JSL3,Dedicator of cytokinesis 11,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
IGSF1,ENSG00000147255,Q8N6C5,Immunoglobulin superfamily member 1,X,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in many
ARHGAP36,ENSG00000147256,Q6ZRI8,Rho GTPase activating protein 36,X,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in some
GPC3,ENSG00000147257,P51654,Glypican 3,X,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in many
GPR119,ENSG00000147262,Q8TDV5,G protein-coupled receptor 119,X,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in single
RBMX,ENSG00000147274,P38159,RNA binding motif protein X-linked,X,"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
MCPH1,ENSG00000147316,Q8NEM0,Microcephalin 1,8,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
MFHAS1,ENSG00000147324,Q9Y4C4,Multifunctional ROCO family signaling regulator 1,8,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
FBXO25,ENSG00000147364,Q8TCJ0,F-box protein 25,8,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
FATE1,ENSG00000147378,Q969F0,Fetal and adult testis expressed 1,X,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
MAGEA4,ENSG00000147381,P43358,MAGE family member A4,X,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
NSDHL,ENSG00000147383,Q15738,NAD(P) dependent steroid dehydrogenase-like,X,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
ZNF185,ENSG00000147394,O15231,Zinc finger protein 185 with LIM domain,X,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
CETN2,ENSG00000147400,P41208,Centrin 2,X,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
RPL10,ENSG00000147403,P27635,Ribosomal protein L10,X,"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,Low tissue specificity,Detected in all
CSGALNACT1,ENSG00000147408,Q8TDX6,Chondroitin sulfate N-acetylgalactosaminyltransferase 1,8,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
ATP6V1B2,ENSG00000147416,P21281,ATPase H+ transporting V1 subunit B2,8,"Disease related genes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
CCDC25,ENSG00000147419,Q86WR0,Coiled-coil domain containing 25,8,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
HMBOX1,ENSG00000147421,Q6NT76,Homeobox containing 1,8,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
CHRNB3,ENSG00000147432,Q05901,Cholinergic receptor nicotinic beta 3 subunit,8,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Group enriched,Detected in some
CHRNA6,ENSG00000147434,Q15825,Cholinergic receptor nicotinic alpha 6 subunit,8,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in single
GNRH1,ENSG00000147437,P01148,Gonadotropin releasing hormone 1,8,"Disease related genes, Human disease related genes, Predicted secreted proteins",Evidence at protein level,Low tissue specificity,Detected in many
BIN3,ENSG00000147439,Q9NQY0,Bridging integrator 3,8,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
DOK2,ENSG00000147443,O60496,Docking protein 2,8,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
SLC25A37,ENSG00000147454,Q9NYZ2,Solute carrier family 25 member 37,8,"Metabolic proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
CHMP7,ENSG00000147457,Q8WUX9,Charged multivesicular body protein 7,8,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
DOCK5,ENSG00000147459,Q9H7D0,Dedicator of cytokinesis 5,8,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
STAR,ENSG00000147465,P49675,Steroidogenic acute regulatory protein,8,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in many
PLPBP,ENSG00000147471,O94903,Pyridoxal phosphate binding protein,8,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ERLIN2,ENSG00000147475,O94905,ER lipid raft associated 2,8,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
SNTG1,ENSG00000147481,Q9NSN8,Syntrophin gamma 1,8,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in some
PXDNL,ENSG00000147485,A1KZ92,Peroxidasin like,8,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
ST18,ENSG00000147488,O60284,ST18 C2H2C-type zinc finger transcription factor,8,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Group enriched,Detected in some
RGS20,ENSG00000147509,O76081,Regulator of G protein signaling 20,8,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in some
TACC1,ENSG00000147526,O75410,Transforming acidic coiled-coil containing protein 1,8,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
GOLGA7,ENSG00000147533,Q7Z5G4,Golgin A7,8,"Predicted intracellular proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
PLPP5,ENSG00000147535,Q8NEB5,Phospholipid phosphatase 5,8,"Enzymes, Metabolic proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
GINS4,ENSG00000147536,Q9BRT9,GINS complex subunit 4,8,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
NSD3,ENSG00000147548,Q9BZ95,Nuclear receptor binding SET domain protein 3,8,"Cancer-related genes, Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
DNAJC5B,ENSG00000147570,Q9UF47,DnaJ heat shock protein family (Hsp40) member C5 beta,8,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
CRH,ENSG00000147571,P06850,Corticotropin releasing hormone,8,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in some
TRIM55,ENSG00000147573,Q9BYV6,Tripartite motif containing 55,8,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Group enriched,Detected in some
ADHFE1,ENSG00000147576,Q8IWW8,Alcohol dehydrogenase iron containing 1,8,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
MRPS28,ENSG00000147586,Q9Y2Q9,Mitochondrial ribosomal protein S28,8,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,Low tissue specificity,Detected in all
PMP2,ENSG00000147588,P02689,Peripheral myelin protein 2,8,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in many
LACTB2,ENSG00000147592,Q53H82,Lactamase beta 2,8,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
PRDM14,ENSG00000147596,Q9GZV8,PR/SET domain 14,8,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Not detected,Not detected
TERF1,ENSG00000147601,P54274,Telomeric repeat binding factor 1,8,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
RPL7,ENSG00000147604,P18124,Ribosomal protein L7,8,"Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,Low tissue specificity,Detected in all
SLC26A7,ENSG00000147606,Q8TE54,Solute carrier family 26 member 7,8,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in some
PSKH2,ENSG00000147613,Q96QS6,Protein serine kinase H2,8,"Enzymes, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in single
ATP6V0D2,ENSG00000147614,Q8N8Y2,ATPase H+ transporting V0 subunit d2,8,"Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in some
SYBU,ENSG00000147642,Q9NX95,Syntabulin,8,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
DPYS,ENSG00000147647,Q14117,Dihydropyrimidinase,8,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in some
MTDH,ENSG00000147649,Q86UE4,Metadherin,8,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
LRP12,ENSG00000147650,Q9Y561,LDL receptor related protein 12,8,"Disease related genes, Human disease related genes, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
EBAG9,ENSG00000147654,O00559,Estrogen receptor binding site associated antigen 9,8,"Cancer-related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RSPO2,ENSG00000147655,Q6UXX9,R-spondin 2,8,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
POLR2K,ENSG00000147669,P53803,"RNA polymerase II, I and III subunit K",8,"Essential proteins, Metabolic proteins, Predicted intracellular proteins, RNA polymerase related proteins",Evidence at protein level,Low tissue specificity,Detected in all
MAL2,ENSG00000147676,Q969L2,"Mal, T cell differentiation protein 2",8,Predicted membrane proteins,Evidence at protein level,Tissue enhanced,Detected in many
EIF3H,ENSG00000147677,O15372,Eukaryotic translation initiation factor 3 subunit H,8,"Cancer-related genes, Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
UTP23,ENSG00000147679,Q9BRU9,UTP23 small subunit processome component,8,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
NDUFB9,ENSG00000147684,Q9Y6M9,NADH:ubiquinone oxidoreductase subunit B9,8,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
TATDN1,ENSG00000147687,Q6P1N9,TatD DNase domain containing 1,8,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
FAM83A,ENSG00000147689,Q86UY5,Family with sequence similarity 83 member A,8,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
